clas_gt,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,joint_angles0,joint_angles1,joint_angles2,joint_angles3,joint_angles4,joint_angles5,joint_angles6,joint_angles7,joint_angles8,joint_angles9,joint_angles10,joint_angles11,joint_angles12,joint_angles13,joint_angles14
1,81,239,444,222,77,38,53,63,0.6560820937,0.142647773,0.4887640476,0.3358573616,0.317537874,0.4811919928,0.5200293064,0.5366389751,0.463116765,0.6187102795,0.4975574017,0.5061064959,0.461651206,0.4040058553,0.5315095186
1,99,196,486,253,79,37,60,60,0.6477772593,0.142647773,0.467513442,0.3358573616,0.317537874,0.4040058553,0.5085490942,0.5366389751,0.4814362526,0.6091841459,0.4975574017,0.5061064959,0.461651206,0.4040058553,0.5315095186
1,107,209,498,251,71,51,73,60,0.6477772593,0.142647773,0.467513442,0.3358573616,0.317537874,0.395701021,0.5085490942,0.5366389751,0.4814362526,0.6091841459,0.4975574017,0.5061064959,0.4538348913,0.4040058553,0.5315095186
1,103,216,439,230,80,54,77,50,0.6477772593,0.142647773,0.467513442,0.3358573616,0.317537874,0.395701021,0.5085490942,0.5366389751,0.4814362526,0.6091841459,0.4975574017,0.5061064959,0.4538348913,0.4040058553,0.5315095186
1,168,366,641,263,86,44,94,89,0.6477772593,0.142647773,0.4509037733,0.3358573616,0.317537874,0.3566194475,0.5007327795,0.5210063457,0.4704445601,0.5923302174,0.4714215994,0.5061064959,0.4538348913,0.3944797218,0.5315095186
1,250,402,389,235,78,45,77,100,0.6477772593,0.142647773,0.4425989389,0.3358573616,0.3258427083,0.3566194475,0.5007327795,0.5210063457,0.4704445601,0.5757205486,0.4636052847,0.5139228106,0.4538348913,0.3944797218,0.5229604244
1,267,270,377,183,74,51,98,107,0.6560820937,0.142647773,0.4335612953,0.3358573616,0.3343918025,0.3817782104,0.5007327795,0.5210063457,0.4704445601,0.5757205486,0.4636052847,0.5139228106,0.4538348913,0.3944797218,0.5229604244
1,185,306,466,225,62,36,64,127,0.6744015813,0.1343429387,0.4335612953,0.3358573616,0.3343918025,0.4450415373,0.5092818737,0.5290669203,0.4785051346,0.6035661697,0.4894968271,0.5139228106,0.4807034731,0.4040058553,0.5229604244
1,217,296,381,195,78,41,73,84,0.6827064157,0.1343429387,0.4418661594,0.3444064558,0.3343918025,0.4621397257,0.5092818737,0.5290669203,0.4785051346,0.6035661697,0.4894968271,0.5139228106,0.4807034731,0.4040058553,0.5229604244
1,305,260,245,135,74,36,86,78,0.6905227304,0.1343429387,0.4584758282,0.3444064558,0.3343918025,0.4821690321,0.5092818737,0.5290669203,0.4785051346,0.6035661697,0.4982901812,0.505862236,0.4807034731,0.4040058553,0.5229604244
1,273,244,222,212,101,47,65,90,0.6905227304,0.1260381043,0.4672691822,0.3444064558,0.3343918025,0.5012212992,0.5092818737,0.5290669203,0.4868099689,0.6035661697,0.4982901812,0.505862236,0.4723986387,0.4123106897,0.5229604244
1,240,246,237,241,122,40,62,81,0.6905227304,0.1260381043,0.4672691822,0.3444064558,0.3343918025,0.5092818737,0.5092818737,0.5290669203,0.4868099689,0.6035661697,0.4982901812,0.505862236,0.4723986387,0.4123106897,0.5229604244
